metric,metric_name,gate_30,gate_40,difference,difference_pp,p_value,significant,winner
retention_1,Day-1 Retention,44.81879194630872,44.22827496757458,-0.5905169787341435,-0.5905169787341458,0.07440965529691912,No,gate_30
retention_7,Day-7 Retention,19.020134228187917,18.200004396667328,-0.8201298315205889,-0.8201298315205913,0.0015542499756142636,Yes,gate_30
sum_gamerounds,Avg Game Rounds,52.45626398210291,51.29877552814966,-1.157488453953249,,0.37592438409326223,No,gate_30
